profile,rs,beta,tau,mod,if_noise,ber,gmi,gmi_max,evm,snr_db
MEGA,1500.00,0.2,0.9375,16-APSK,0.0,0.001884,3.9332,4,0.1615,13.174
MEGA,1500.00,0.2,0.9375,16-APSK,0.05,0.000685,3.9614,4,0.1427,13.371
MEGA,1500.00,0.2,0.9375,16-APSK,0.1,0.001199,3.9445,4,0.1597,13.230
MEGA,1500.00,0.2,0.9375,16-APSK,0.165,0.005993,3.8954,4,0.1707,13.186
MEGA,1500.00,0.2,0.9375,16-APSK,0.2,0.001199,3.9503,4,0.1488,13.291
MEGA,1500.00,0.2,0.9375,16-APSK,0.25,0.004623,3.9171,4,0.1608,13.251
MEGA,1500.00,0.2,0.9375,16-APSK,0.3,0.001370,3.9554,4,0.1489,13.239
MEGA,1500.00,0.2,0.9375,16-APSK,0.35,0.014726,3.7363,4,0.1905,11.596
MEGA,1500.00,0.2,0.9375,16-APSK,0.4,0.005479,3.8413,4,0.1694,12.178
MEGA,1500.00,0.2,0.9375,16-APSK,0.5,0.051541,2.8764,4,0.2348,7.763
HIGH,1500.00,0.2,1.0000,16-APSK,0.0,0.000000,4.0000,4,0.1184,22.985
HIGH,1500.00,0.2,1.0000,16-APSK,0.05,0.000171,3.9958,4,0.1201,23.162
HIGH,1500.00,0.2,1.0000,16-APSK,0.1,0.000342,3.9878,4,0.1319,22.204
HIGH,1500.00,0.2,1.0000,16-APSK,0.165,0.000171,3.9981,4,0.1420,21.660
HIGH,1500.00,0.2,1.0000,16-APSK,0.2,0.000342,3.9951,4,0.1280,22.775
HIGH,1500.00,0.2,1.0000,16-APSK,0.25,0.000000,4.0000,4,0.1263,22.776
HIGH,1500.00,0.2,1.0000,16-APSK,0.3,0.000000,4.0000,4,0.1272,22.881
HIGH,1500.00,0.2,1.0000,16-APSK,0.35,0.007534,3.5154,4,0.1520,20.196
HIGH,1500.00,0.2,1.0000,16-APSK,0.4,0.001370,3.7330,4,0.1403,20.990
HIGH,1500.00,0.2,1.0000,16-APSK,0.5,0.365925,-1.0850,4,0.3409,5.245
NORMAL,1500.00,0.2,1.0000,8PSK,0.0,0.000000,3.0000,3,0.1337,21.269
NORMAL,1500.00,0.2,1.0000,8PSK,0.05,0.000000,3.0000,3,0.1291,21.527
NORMAL,1500.00,0.2,1.0000,8PSK,0.1,0.000000,3.0000,3,0.1368,21.051
NORMAL,1500.00,0.2,1.0000,8PSK,0.165,0.000000,3.0000,3,0.1355,21.347
NORMAL,1500.00,0.2,1.0000,8PSK,0.2,0.000000,3.0000,3,0.1335,21.533
NORMAL,1500.00,0.2,1.0000,8PSK,0.25,0.000000,3.0000,3,0.1335,21.685
NORMAL,1500.00,0.2,1.0000,8PSK,0.3,0.000000,3.0000,3,0.1245,21.979
NORMAL,1500.00,0.2,1.0000,8PSK,0.35,0.000000,3.0000,3,0.1323,21.578
NORMAL,1500.00,0.2,1.0000,8PSK,0.4,0.000913,2.8606,3,0.1467,20.758
NORMAL,1500.00,0.2,1.0000,8PSK,0.5,0.199543,0.2073,3,0.3926,7.691
ROBUST,1000.00,0.25,1.0000,QPSK,0.0,0.000000,2.0000,2,0.0732,26.551
ROBUST,1000.00,0.25,1.0000,QPSK,0.05,0.000000,2.0000,2,0.0701,26.670
ROBUST,1000.00,0.25,1.0000,QPSK,0.1,0.000000,2.0000,2,0.0710,26.112
ROBUST,1000.00,0.25,1.0000,QPSK,0.165,0.000000,2.0000,2,0.0722,26.098
ROBUST,1000.00,0.25,1.0000,QPSK,0.2,0.000000,2.0000,2,0.0705,26.341
ROBUST,1000.00,0.25,1.0000,QPSK,0.25,0.000000,2.0000,2,0.0692,26.692
ROBUST,1000.00,0.25,1.0000,QPSK,0.3,0.000000,2.0000,2,0.0730,26.322
ROBUST,1000.00,0.25,1.0000,QPSK,0.35,0.000000,2.0000,2,0.0675,26.681
ROBUST,1000.00,0.25,1.0000,QPSK,0.4,0.000339,1.9810,2,0.0786,27.499
ROBUST,1000.00,0.25,1.0000,QPSK,0.5,0.003055,1.9634,2,0.1876,14.764
ULTRA,500.00,0.25,1.0000,QPSK,0.0,0.000000,2.0000,2,0.0749,26.546
ULTRA,500.00,0.25,1.0000,QPSK,0.05,0.000000,2.0000,2,0.0717,26.614
ULTRA,500.00,0.25,1.0000,QPSK,0.1,0.000000,2.0000,2,0.0695,26.352
ULTRA,500.00,0.25,1.0000,QPSK,0.165,0.000000,2.0000,2,0.0684,26.782
ULTRA,500.00,0.25,1.0000,QPSK,0.2,0.000000,2.0000,2,0.0642,27.446
ULTRA,500.00,0.25,1.0000,QPSK,0.25,0.000000,2.0000,2,0.0685,26.888
ULTRA,500.00,0.25,1.0000,QPSK,0.3,0.000000,2.0000,2,0.0690,26.956
ULTRA,500.00,0.25,1.0000,QPSK,0.35,0.000000,2.0000,2,0.0681,26.864
ULTRA,500.00,0.25,1.0000,QPSK,0.4,0.000000,2.0000,2,0.0887,24.078
ULTRA,500.00,0.25,1.0000,QPSK,0.5,0.000672,1.9769,2,0.2940,14.053
