name,rs,beta,tau,if_noise,ber,gmi,evm,snr_db,sigma2
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.0,0.001913,3.9702,0.1457,20.953,0.008083
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.05,0.004209,3.8274,0.1525,20.640,0.008666
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.1,0.000638,3.9929,0.1531,20.316,0.009303
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.15,0.002679,3.9405,0.1522,20.821,0.008322
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.2,0.000765,3.9859,0.1446,21.146,0.007688
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.25,0.002041,3.9466,0.1530,20.496,0.008981
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.3,0.005357,3.7787,0.1588,19.912,0.010238
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.35,0.005740,3.7015,0.1566,20.089,0.009785
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.4,0.009311,3.2872,0.1593,19.466,0.011317
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.5,0.269515,0.1635,0.3182,6.927,0.206088
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.6,0.361097,0.0226,0.2946,2.795,0.442245
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,0.8,0.456633,-0.1032,0.3243,-1.442,1.330145
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,1.0,0.497832,-0.0000,2450574.5259,-0.000,1304959833330.570312
sweet-spot 1500/0.20/1.0,1500.00,0.20,1.0000,1.5,0.507576,0.0000,101954402384672243190877509545623552.0000,0.000,1728348195436981888826965712621574282239990352949178912811491157606400.000000
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.0,0.007015,3.7451,0.1649,19.358,0.011667
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.05,0.013776,3.3103,0.1769,18.643,0.013755
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.1,0.006633,3.8107,0.1686,19.423,0.011472
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.15,0.007653,3.7946,0.1745,19.145,0.012262
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.2,0.003189,3.9039,0.1623,20.030,0.009938
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.25,0.005485,3.7983,0.1674,19.883,0.010333
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.3,0.010714,3.4683,0.1676,18.998,0.012633
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.35,0.020153,2.7065,0.1710,17.372,0.018314
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.4,0.013520,3.1593,0.1789,18.101,0.015560
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.5,0.229209,-0.0805,0.2586,6.893,0.192391
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.6,0.425128,-0.3278,1.1795,0.757,1.706527
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,0.8,0.480867,-0.4203,0.7032,-0.821,1.697600
sweet-spot 1500/0.25/1.0,1500.00,0.25,1.0000,1.0,0.490689,0.0002,1893.4535,-0.000,1038074.060622
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.0,0.000000,4.0000,0.0921,25.329,0.002926
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.05,0.000000,4.0000,0.0808,25.611,0.002746
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.1,0.000000,4.0000,0.0761,26.781,0.002104
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.15,0.000000,4.0000,0.0825,25.849,0.002602
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.2,0.000000,4.0000,0.0835,25.995,0.002517
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.25,0.000000,4.0000,0.0870,25.212,0.003006
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.3,0.000000,4.0000,0.0815,26.058,0.002481
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.35,0.000000,4.0000,0.0868,25.884,0.002592
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.4,0.001146,3.7887,0.1163,19.627,0.010828
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.5,0.405884,-0.6136,0.2953,3.021,0.433709
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.6,0.450586,-0.4876,0.2830,1.767,0.544888
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,0.8,0.493377,-0.2602,1.7088,-0.655,3.870951
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,1.0,0.499491,-0.0000,2818176467.6953,0.000,1647095644398993408.000000
robuste 1411/0.25/1.0,1411.76,0.25,1.0000,1.5,0.504983,0.0000,26044657989646282658910303465179922490891075264302502785109533818412143464376516065310250715134125656890122388373504.0000,0.000,4276776330578383226099192239301513653461659386888739339884573003112224877869726572248853231990649917478545798686715359566696130838385374722448138103306060477150722972918543239571314688479535789095974525088937874633088960015892480.000000
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.0,0.000255,3.9918,0.1341,15.337,0.028612
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.05,0.001020,3.9857,0.1299,15.278,0.028895
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.1,0.000128,3.9934,0.1262,15.417,0.028107
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.15,0.000255,3.9929,0.1262,15.481,0.027649
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.2,0.000638,3.9866,0.1316,15.291,0.028817
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.25,0.001148,3.9815,0.1364,15.336,0.028604
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.3,0.000510,3.9897,0.1351,15.371,0.028365
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.35,0.008546,3.7261,0.1568,14.587,0.033858
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.4,0.002679,3.8874,0.1403,13.746,0.041241
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.5,0.100000,2.3350,0.2525,7.210,0.184048
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.6,0.354592,0.3092,0.3442,1.958,0.628184
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,0.8,0.504209,-0.0172,7.2963,-0.038,65.048267
FTN 1500/0.25/0.938,1500.00,0.25,0.9375,1.5,0.507589,0.0000,51440819153556293421780248415280197122561886864457589099810611366199296.0000,0.000,525501881245269424796444464003292040564532259365641026029639800001253893874475241763117430221859105401903731701905331189172091270149267521536.000000
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.0,0.000000,4.0000,0.0697,28.360,0.001460
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.05,0.000000,4.0000,0.0672,27.567,0.001752
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.1,0.000000,4.0000,0.0585,29.629,0.001092
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.15,0.000000,4.0000,0.0655,27.979,0.001594
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.2,0.000000,4.0000,0.0642,28.955,0.001275
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.25,0.000000,4.0000,0.0630,28.242,0.001500
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.3,0.000000,4.0000,0.0596,29.106,0.001230
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.35,0.000000,4.0000,0.0613,29.199,0.001207
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.4,0.001397,3.6324,0.0734,28.535,0.001402
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.5,0.205434,0.7813,0.2712,8.658,0.132468
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.6,0.295835,0.5996,0.2885,4.150,0.339818
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,0.8,0.505587,-0.2081,3.5184,-0.289,9.341037
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,1.0,0.503174,-0.1427,1.1878,-1.057,4.581806
fallback 1200/0.20/1.0,1200.00,0.20,1.0000,1.5,0.512841,0.0000,755011146990440726040486856041610583303852979471238589919205156325494344810460161002044005650170051206555514864938456610181205363910685644292096.0000,0.000,3642819949240775508646578012642177529568590939396860913635032418359470346273030220598036561002950256557167626996327614372552466077257930490256491424724201895683267331956896871532821592467949302285371697959382061590243323788682686976382712958397134178800516688785481798945390135399677952.000000
