rs,beta,tau,if_noise,ser,ber,evm,gmi,eye_opening,sigma2,n_processed,freq_offset_hz
1000.0,0.15,1.0,0.0,0.000000,0.000000,0.0698,4.0000,0.7430,0.001602,1291,0.002
1000.0,0.15,1.0,0.05,0.000000,0.000000,0.0790,4.0000,0.7005,0.002433,1291,0.000
1000.0,0.15,1.0,0.1,0.000000,0.000000,0.0772,4.0000,0.7180,0.001977,1291,-0.001
1000.0,0.15,1.0,0.165,0.000000,0.000000,0.0754,4.0000,0.7263,0.002004,1291,0.001
1000.0,0.15,1.0,0.3,0.000000,0.000000,0.0795,4.0000,0.6885,0.001899,1291,0.004
1000.0,0.15,1.0,0.5,0.177436,0.050256,0.2421,2.6876,0.1027,0.044183,1291,-0.001
1000.0,0.2,1.0,0.0,0.000000,0.000000,0.0541,4.0000,0.8025,0.000842,1291,-0.000
1000.0,0.2,1.0,0.05,0.000000,0.000000,0.0589,4.0000,0.7717,0.001159,1291,0.002
1000.0,0.2,1.0,0.1,0.000000,0.000000,0.0586,4.0000,0.7837,0.001045,1291,0.001
1000.0,0.2,1.0,0.165,0.000000,0.000000,0.0556,4.0000,0.8021,0.000848,1291,0.002
1000.0,0.2,1.0,0.3,0.000000,0.000000,0.0473,4.0000,0.8231,0.000645,1291,0.002
1000.0,0.2,1.0,0.5,0.656410,0.216667,0.2705,-0.0524,0.0000,0.122982,1291,-0.087
1000.0,0.25,1.0,0.0,0.000000,0.000000,0.0701,4.0000,0.7567,0.001735,1291,0.003
1000.0,0.25,1.0,0.05,0.000000,0.000000,0.0616,4.0000,0.7725,0.001051,1291,0.002
1000.0,0.25,1.0,0.1,0.000000,0.000000,0.0587,4.0000,0.7964,0.000983,1291,-0.001
1000.0,0.25,1.0,0.165,0.000000,0.000000,0.0593,4.0000,0.7982,0.001089,1291,0.003
1000.0,0.25,1.0,0.3,0.000000,0.000000,0.0773,4.0000,0.7075,0.001831,1291,0.007
1000.0,0.25,1.0,0.5,0.553846,0.159487,0.2753,1.0014,0.0000,0.085758,1291,-0.139
1200.0,0.15,1.0,0.0,0.000000,0.000000,0.0651,4.0000,0.7628,0.001445,1285,0.002
