profile,if_noise,phase_walk,injected_drift_ppm,injected_thermal_ppm,sigma2,snr_est_db,sigma2_radial,sigma2_tangential,ratio_rt,estimated_drift_ppm,validated_sofs,converged,total,cycles,decoded_bytes,ber_byte,exact,tx_time_s,total_time_s
HIGH2X,0.25,0.0,0.0,0.0,0.0016,27.95880017344075,0.0014,0.0005,2.71,NaN,8,69,70,7,10020,0.0,1,0.07775068283081055,72.73525404930115
HIGH+2X,0.25,0.0,0.0,0.0,0.0019,27.21246399047171,0.0019,0.0005,3.71,NaN,7,68,69,6,10020,0.0,1,0.05901527404785156,52.13605785369873
HIGH++2X,0.25,0.0,0.0,0.0,0.004,23.979400086720375,0.0051,0.0005,9.78,NaN,6,67,69,5,10020,0.0,1,4.326696395874023,43.15147137641907
HIGH2X,0.25,0.0,5.0,0.0,0.0016,27.95880017344075,0.0014,0.0007,1.93,NaN,8,69,70,7,10020,0.0,1,0.18714570999145508,74.93686747550964
HIGH+2X,0.25,0.0,5.0,0.0,0.0019,27.21246399047171,0.0019,0.0006,3.06,NaN,7,68,69,6,10020,0.0,1,0.08534431457519531,38.75619029998779
HIGH++2X,0.25,0.0,5.0,0.0,0.0041,23.872161432802645,0.005,0.0011,4.57,NaN,6,67,69,5,10020,0.0,1,0.052967071533203125,27.69572639465332
HIGH2X,0.25,0.0,10.0,0.0,0.4754,3.229408226078385,0.4324,0.1853,2.33,NaN,8,68,70,7,10020,0.0,1,0.0671842098236084,80.71528744697571
HIGH+2X,0.25,0.0,10.0,0.0,0.5631,2.494144726589912,0.6178,0.0065,94.72,NaN,7,62,69,6,10020,0.0,1,0.058473825454711914,50.08961081504822
HIGH++2X,0.25,0.0,10.0,0.0,0.5518,2.5821830385683335,0.564,0.0191,29.54,NaN,6,48,69,5,10020,0.1454,0,0.07802128791809082,38.18486404418945
HIGH2X,0.25,0.0,20.0,0.0,1.054,-0.22840610876527823,0.9438,0.315,3.0,30.39,8,37,63,7,10020,0.220375,0,0.06302070617675781,59.191869020462036
HIGH+2X,0.25,0.0,20.0,0.0,0.8536,0.6874559358358651,0.8647,0.1238,6.98,34.19,7,32,69,6,10020,0.283775,0,0.05740833282470703,39.266616106033325
HIGH++2X,0.25,0.0,20.0,0.0,1.1095,-0.45127306568027103,0.7838,0.7271,1.08,40.87,6,24,69,5,10020,0.3518375,0,0.06528830528259277,27.909691333770752
HIGH2X,0.25,0.0,30.0,0.0,0.0065,21.870866433571443,0.0021,0.0074,0.29,25.47,7,43,61,6,10020,0.268675,0,0.06975412368774414,60.154592990875244
HIGH+2X,0.25,0.0,30.0,0.0,0.4509,3.4591976469342938,0.4162,0.145,2.87,29.63,7,18,66,6,10020,0.39285,0,0.05748343467712402,38.934447050094604
HIGH++2X,0.25,0.0,30.0,0.0,2.2902,-3.598734103327424,2.2507,1.0797,2.08,33.32,6,14,65,5,10020,0.4273,0,0.05428743362426758,28.503462314605713
HIGH2X,0.25,0.0,50.0,0.0,0.0116,19.355420107730815,0.0049,0.0125,0.39,52.16,7,44,61,6,10020,0.2600375,0,0.07017731666564941,61.39134073257446
HIGH+2X,0.25,0.0,50.0,0.0,0.011,19.58607314841775,0.0055,0.0112,0.49,61.23,6,35,58,5,10020,0.3453,0,0.06074190139770508,38.86102342605591
HIGH++2X,0.25,0.0,50.0,0.0,3.2877,-5.168921816512415,3.377,0.5184,6.51,32.44,5,10,56,4,10020,0.459175,0,0.07848834991455078,28.382959127426147
HIGH2X,0.25,0.0,75.0,0.0,0.0125,19.030899869919434,0.0099,0.0089,1.11,74.72,7,52,61,6,10020,0.5006875,0,0.06893205642700195,60.50751280784607
HIGH+2X,0.25,0.0,75.0,0.0,0.0116,19.355420107730815,0.0094,0.0081,1.16,90.45,6,44,58,5,10020,0.4999,0,0.06195402145385742,38.28679871559143
HIGH++2X,0.25,0.0,75.0,0.0,0.9259,0.3343591590268963,0.9391,0.0572,16.42,63.25,4,27,43,3,10020,0.5010625,0,0.05429387092590332,28.2524631023407
HIGH2X,0.25,0.0,100.0,0.0,0.049,13.098039199714863,0.0481,0.0208,2.31,100.71,6,35,52,5,10020,0.5005875,0,0.06845998764038086,61.185988664627075
HIGH+2X,0.25,0.0,100.0,0.0,0.0265,15.767541260631921,0.0285,0.0118,2.41,102.06,4,21,36,3,10020,0.5011625,0,0.06769251823425293,38.49004006385803
HIGH++2X,0.25,0.0,100.0,0.0,0.0753,11.232050237992993,0.0828,0.0328,2.53,97.76,4,11,43,3,10020,0.5015375,0,0.07511425018310547,29.253713130950928
HIGH2X,0.25,0.0,150.0,0.0,0.506,2.9584948316020085,0.4529,0.2724,1.66,147.98,7,36,61,6,10020,0.498275,0,0.07373619079589844,62.640185594558716
HIGH+2X,0.25,0.0,150.0,0.0,0.0195,17.09965388637482,0.0162,0.0133,1.22,138.27,7,16,66,6,10020,0.4996125,0,0.05874133110046387,39.93453288078308
HIGH++2X,0.25,0.0,150.0,0.0,0.719,1.4327110961711742,0.7313,0.0955,7.66,170.3,5,15,56,4,10020,0.5024125,0,0.056139230728149414,28.817349433898926
HIGH2X,0.25,0.0,200.0,0.0,1.2201,-0.8639542712424998,1.1803,0.3953,2.99,204.9,7,26,61,6,10020,0.4995125,0,0.06986427307128906,60.80890655517578
HIGH+2X,0.25,0.0,200.0,0.0,0.4083,3.890206200770029,0.3695,0.1499,2.47,199.11,7,20,66,6,10020,0.498875,0,0.08377218246459961,38.61472845077515
HIGH++2X,0.25,0.0,200.0,0.0,2.8695,-4.578062290829771,2.2178,1.8273,1.21,198.68,6,13,69,5,10020,0.5016125,0,0.05495333671569824,29.561544179916382
