mode,level_db,mean_gain_db_300_2200,bw_-3dB_low,bw_-3dB_high
voice,0,-5.23,300,1450
voice,-2,-4.67,300,1800
voice,-4,-4.32,300,2200
voice,-6,-4.20,300,2100
voice,-8,-4.14,300,2150
voice,-10,-4.15,300,2100
voice,-12,-4.14,300,2150
voice,-14,-4.13,300,2150
voice,-16,-4.10,300,2150
voice,-18,-11.52,300,1100
voice,-20,-4.15,300,2150
data,0,-7.01,300,1800
data,-2,-6.53,300,2200
data,-4,-6.57,300,2100
data,-6,-6.52,300,2150
data,-8,-6.51,300,2150
data,-10,-6.44,300,2100
data,-12,-6.52,300,2150
data,-14,-6.47,300,2150
data,-16,-6.54,300,2150
data,-18,-6.53,300,2100
data,-20,-6.58,300,2100
