profile,if_noise,sigma2,snr_est_db,converged,total,cycles,decoded_bytes,ber_byte,exact,tx_time_s,total_time_s
HIGH2X,0.0,0.0175,17.569619513137056,69,70,8,10020,0.0,1,0.06110191345214844,2.5831356048583984
HIGH2X,0.3,0.0176,17.5448733218585,69,70,8,10020,0.0,1,0.06110191345214844,2.729576587677002
HIGH2X,0.45,0.032,14.948500216800939,68,70,8,10020,0.0,1,0.06110191345214844,2.7009057998657227
HIGH2X,0.55,0.1658,7.804154737857453,0,52,6,0,1.0,0,0.06110191345214844,2.911525249481201
HIGH+2X,0.0,0.4354,3.611115752949244,68,69,7,10020,0.0,1,0.05605626106262207,2.4598636627197266
HIGH+2X,0.3,0.4272,3.693687559795,68,69,7,10020,0.0,1,0.05605626106262207,2.517298698425293
HIGH+2X,0.45,0.4455,3.5115229162710637,55,69,7,10020,0.0,1,0.05605626106262207,2.50028133392334
HIGH+2X,0.55,0.539,2.6841123481326123,0,49,5,0,1.0,0,0.05605626106262207,2.7368130683898926
HIGH++2X,0.0,0.0505,12.967086218813385,63,69,6,10020,0.0,1,0.051015377044677734,2.3781893253326416
HIGH++2X,0.3,0.0509,12.932822176632413,62,69,6,10020,0.0,1,0.051015377044677734,2.3354079723358154
HIGH++2X,0.45,0.0813,10.899094544059318,15,57,5,10020,0.4040875,0,0.051015377044677734,2.553861618041992
HIGH++2X,0.55,0.3032,5.182708030399841,0,57,5,0,1.0,0,0.051015377044677734,2.6611907482147217
